ArbiBird #1: Background: Blue, Beak: Stark - Gray, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Visor (Jade), Outerwear: Captain's Cap
ArbiBird #80: Background: Blue, Beak: Professor - Purple, Body: Small - Ruby, Eyes: Jean Jacket, Eyewear: Open - Rainbow, Headwear: Eyepatch, Outerwear: Parliament Mask (Jade)
ArbiBird #81: Background: Blue, Beak: Stark - Pink, Body: Long - Golden, Eyes: Hoodie Down, Eyewear: Open (Cosmic), Headwear: Black-rimmed Glasses, Outerwear: Grail
ArbiBird #82: Background: Blue, Beak: Stark - Purple, Body: Small - Golden, Eyes: None, Eyewear: Discerning - Blue, Headwear: 3D Glasses, Outerwear: Crescent Talisman (Jade)
ArbiBird #83: Background: Blue, Beak: Tabby - White, Body: Long - Robot, Eyes: Punk Jacket, Eyewear: Discerning - Blue, Headwear: Big Tech, Outerwear: Queen's Crown
ArbiBird #84: Background: Blue, Beak: Professor - Pink, Body: Small - Gray, Eyes: Gold Chain, Eyewear: Diamond - Epic, Headwear: 3D Glasses, Outerwear: Parliament Mask (Jade)
ArbiBird #85: Background: Blue, Beak: Sage - Green, Body: Short - Ruby, Eyes: Diamond Necklace, Eyewear: Discerning - Golden, Headwear: Sunglasses, Outerwear: Backwards Hat
ArbiBird #86: Background: Blue, Beak: Jade - Legendary Brave, Body: Long - Skeleton, Eyes: Bomber Jacket, Eyewear: Discerning - Red, Headwear: Monocle, Outerwear: Halo (Enlightened Variant)
ArbiBird #87: Background: Blue, Beak: Emperor - Brown, Body: Small - Ruby, Eyes: None, Eyewear: Relaxed - White, Headwear: Monocle (Jade), Outerwear: Bucket Hat
ArbiBird #88: Background: Blue, Beak: Jade - Legendary Guardian, Body: Long - Golden, Eyes: Punk Jacket, Eyewear: Glitch 4, Headwear: Black-rimmed Glasses, Outerwear: Crescent Talisman
ArbiBird #89: Background: Blue, Beak: Jade - Legendary Professor, Body: Short - Ruby, Eyes: Diamond Necklace, Eyewear: Glitch 3, Headwear: Half-moon Spectacles, Outerwear: Bow
ArbiBird #90: Background: Blue, Beak: Cosmic - Legendary Professor, Body: Small - Gray, Eyes: Hoodie, Eyewear: Angry - Blue, Headwear: Monocle (Jade), Outerwear: Space Helmet
ArbiBird #91: Background: Blue, Beak: Sage - Red, Body: Long - Skeleton, Eyes: Hoodie, Eyewear: Open - Gray, Headwear: Monocle, Outerwear: Diamond (Jade)
ArbiBird #92: Background: Blue, Beak: Sage - Purple, Body: Short - Golden, Eyes: Punk Jacket, Eyewear: Glitch 6, Headwear: Aviators, Outerwear: Skully
ArbiBird #93: Background: Blue, Beak: Tranquil - Purple, Body: Long - Skeleton, Eyes: Hero's Tunic, Eyewear: Angry - Purple, Headwear: Jobs Glasses, Outerwear: Witch's Hat
ArbiBird #94: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Long - Gray, Eyes: Bomber Jacket, Eyewear: Open - Yellow, Headwear: Aviators, Outerwear: Bandana
ArbiBird #95: Background: Blue, Beak: Sage - Red, Body: Small - Golden, Eyes: Jean Jacket, Eyewear: Closed (Enlightened), Headwear: Eyepatch, Outerwear: Halo
ArbiBird #96: Background: Blue, Beak: Professor - Red, Body: Long - Golden, Eyes: None, Eyewear: Side-eye - White, Headwear: 3D Glasses, Outerwear: Wizard's Hat
ArbiBird #97: Background: Blue, Beak: Emperor - Gray, Body: Small - Gray, Eyes: Hoodie Down, Eyewear: Discerning - Gray, Headwear: Rose-Colored Glasses, Outerwear: Skully
ArbiBird #98: Background: Blue, Beak: Tranquil - Green, Body: Short (Jade), Eyes: Bomber Jacket, Eyewear: Open - Green, Headwear: Visor (Jade), Outerwear: Parliament Mask (Jade)
ArbiBird #99: Background: Blue, Beak: Tranquil - Pink, Body: Short - Orange, Eyes: Bomber Jacket, Eyewear: Relaxed (Enlightened), Headwear: Monocle, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #100: Background: Blue, Beak: Brave - Black, Body: Small (Jade), Eyes: Jean Jacket, Eyewear: Angry - Green, Headwear: Jobs Glasses, Outerwear: Witch's Hat
ArbiBird #101: Background: Blue, Beak: Sage - Brown, Body: Long - Golden, Eyes: Hoodie, Eyewear: Angry - Red, Headwear: Monocle, Outerwear: Hero's Cap
ArbiBird #102: Background: Blue, Beak: Guardian - Blue, Body: Small (Cosmic), Eyes: None, Eyewear: Relaxed - Red, Headwear: None, Outerwear: None
ArbiBird #103: Background: Blue, Beak: Professor - Black, Body: Short - Gray, Eyes: None, Eyewear: Angry - Blue, Headwear: Gazelles, Outerwear: Rubber Duck
ArbiBird #104: Background: Blue, Beak: Tranquil - Black, Body: Small - Robot, Eyes: Gold Chain, Eyewear: Relaxed - Purple, Headwear: Visor, Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #105: Background: Blue, Beak: Jade - Legendary Sage, Body: Short - Orange, Eyes: Gold Chain, Eyewear: Open - Blue, Headwear: Monocle, Outerwear: Lincoln
ArbiBird #106: Background: Blue, Beak: Crescent - Blue, Body: Small (Cosmic), Eyes: Hoodie, Eyewear: Glitch 2, Headwear: Eyepatch, Outerwear: Diamond (Jade)
ArbiBird #107: Background: Blue, Beak: Brave - Black, Body: Small (Jade), Eyes: Punk Jacket, Eyewear: Open - Yellow, Headwear: Monocle (Jade), Outerwear: Rubber Duck
ArbiBird #108: Background: Blue, Beak: Guardian - White, Body: Long - Gray, Eyes: Punk Jacket, Eyewear: Rainbow - Epic, Headwear: Rose-Colored Glasses, Outerwear: Durag
ArbiBird #109: Background: Blue, Beak: Tranquil - Purple, Body: Short - Skeleton, Eyes: Hoodie, Eyewear: Discerning - Golden, Headwear: Monocle, Outerwear: Headband
ArbiBird #110: Background: Blue, Beak: Crescent - Brown, Body: Long - Orange, Eyes: None, Eyewear: Relaxed - Green, Headwear: None, Outerwear: Queen's Crown
ArbiBird #111: Background: Blue, Beak: Professor - Brown, Body: Small - Ruby, Eyes: Hero's Tunic, Eyewear: Adorable - Epic, Headwear: Gazelles, Outerwear: Halo (Enlightened Variant)
ArbiBird #112: Background: Blue, Beak: Crescent - Pink, Body: Small - Orange, Eyes: Gold Chain, Eyewear: Relaxed - Green, Headwear: Monocle (Jade), Outerwear: Rubber Duck
ArbiBird #113: Background: Blue, Beak: Tranquil - Pink, Body: Long - Ruby, Eyes: Hero's Tunic, Eyewear: Relaxed - Green, Headwear: Rose-Colored Glasses, Outerwear: Raincloud
ArbiBird #114: Background: Blue, Beak: Tabby - Brown, Body: Short - Orange, Eyes: Jean Jacket, Eyewear: Open - Moon, Headwear: Eyepatch, Outerwear: Forest Ranger
ArbiBird #115: Background: Blue, Beak: Sage - Brown, Body: Short - Ruby, Eyes: Hoodie Down, Eyewear: Angry - Skeleton, Headwear: Visor (Jade), Outerwear: Durag
ArbiBird #116: Background: Blue, Beak: Stark - White, Body: Short (Jade), Eyes: Bomber Jacket, Eyewear: Open - Enchanted, Headwear: Gazelles, Outerwear: Fire
ArbiBird #117: Background: Blue, Beak: Professor - White, Body: Short - Skeleton, Eyes: Hoodie Down, Eyewear: Fire - Ruby, Headwear: Half-moon Spectacles, Outerwear: Fire
ArbiBird #118: Background: Blue, Beak: Enlightened - Legendary Crescent, Body: Short - Skeleton, Eyes: Gold Chain, Eyewear: Open - Blue, Headwear: 3D Glasses, Outerwear: Tiara
ArbiBird #119: Background: Blue, Beak: Professor - White, Body: Small - Robot, Eyes: Diamond Necklace, Eyewear: Open - Diamond, Headwear: Black-rimmed Glasses, Outerwear: Cowboy Hat
ArbiBird #120: Background: Blue, Beak: Tranquil - White, Body: Long - Ruby, Eyes: Punk Jacket, Eyewear: Moon - Epic, Headwear: Gazelles, Outerwear: Karate Band
ArbiBird #121: Background: Blue, Beak: Professor - Black, Body: Small - Ruby, Eyes: Bomber Jacket, Eyewear: Relaxed - Purple, Headwear: Monocle, Outerwear: Halo (Enlightened Variant)
ArbiBird #122: Background: Blue, Beak: Tranquil - Brown, Body: Short - Gray, Eyes: Bomber Jacket, Eyewear: Relaxed - Yellow, Headwear: Monocle, Outerwear: Tiny Crown (Jade)
ArbiBird #123: Background: Blue, Beak: Crescent - White, Body: Long - Robot, Eyes: Bomber Jacket, Eyewear: Open (Enlightened), Headwear: Eyepatch, Outerwear: Mohawk (Jade)
ArbiBird #124: Background: Blue, Beak: Cosmic - Legendary Crescent, Body: Long - Orange, Eyes: Hero's Tunic, Eyewear: Discerning - Yellow, Headwear: Black-rimmed Glasses, Outerwear: Mohawk (Green)
ArbiBird #125: Background: Blue, Beak: Sage - Black, Body: Short - Skeleton, Eyes: Hero's Tunic, Eyewear: Open (Enlightened), Headwear: Visor (Jade), Outerwear: Tiara
ArbiBird #126: Background: Blue, Beak: Enlightened - Legendary Guardian, Body: Short - Golden, Eyes: None, Eyewear: Side-eye - Purple, Headwear: Monocle, Outerwear: Mohawk (Jade)
ArbiBird #127: Background: Blue, Beak: Enlightened - Legendary Brave, Body: Short - Robot, Eyes: None, Eyewear: Open - Robot, Headwear: Big Tech, Outerwear: Mohawk (Green)
ArbiBird #128: Background: Blue, Beak: Golden - Legendary Sage, Body: Small - Orange, Eyes: Diamond Necklace, Eyewear: Discerning - White, Headwear: Monocle (Jade), Outerwear: Gremplin
ArbiBird #129: Background: Blue, Beak: Professor - Black, Body: Small (Enlightened), Eyes: Jean Jacket, Eyewear: Angry - Blue, Headwear: Gazelles, Outerwear: Halo
ArbiBird #130: Background: Blue, Beak: Tabby - Gray, Body: Small - Golden, Eyes: Punk Jacket, Eyewear: Open (Cosmic), Headwear: Black-rimmed Glasses, Outerwear: Moon Hat
ArbiBird #131: Background: Blue, Beak: Professor - Purple, Body: Small - Robot, Eyes: Punk Jacket, Eyewear: Open - Purple, Headwear: Monocle (Jade), Outerwear: Dancing Flame (Enlightened Variant)
ArbiBird #132: Background: Blue, Beak: Guardian - Purple, Body: Short - Robot, Eyes: None, Eyewear: Relaxed - Red, Headwear: Monocle, Outerwear: Tiny Crown
ArbiBird #133: Background: Blue, Beak: Emperor - Pink, Body: Small (Cosmic), Eyes: Punk Jacket, Eyewear: Open - Robot, Headwear: Eyepatch, Outerwear: Queen's Crown
ArbiBird #134: Background: Blue, Beak: Cosmic - Legendary Crescent, Body: Long - Orange, Eyes: None, Eyewear: Relaxed - Red, Headwear: 3D Glasses, Outerwear: Mohawk (Pink)
ArbiBird #135: Background: Blue, Beak: Emperor - Gray, Body: Small - Orange, Eyes: Gold Chain, Eyewear: Glitch 1, Headwear: Monocle (Jade), Outerwear: Skully
ArbiBird #136: Background: Blue, Beak: Glitch - Legendary Brave, Body: Short - Skeleton, Eyes: None, Eyewear: Angry - Robot, Headwear: Half-moon Spectacles, Outerwear: Pirate's Hat
ArbiBird #137: Background: Blue, Beak: Guardian - Blue, Body: Small - Skeleton, Eyes: Hoodie, Eyewear: Angry - Ruby, Headwear: Eyepatch, Outerwear: Crescent Talisman (Jade)
ArbiBird #138: Background: Blue, Beak: Jade - Legendary Sage, Body: Small - Orange, Eyes: Jean Jacket, Eyewear: Open - Rainbow, Headwear: Eyepatch, Outerwear: Dancing Flame
ArbiBird #139: Background: Blue, Beak: Glitch - Legendary Emperor, Body: Long - Ruby, Eyes: Punk Jacket, Eyewear: Adorable - Ruby, Headwear: Aviators, Outerwear: Cowboy Hat
ArbiBird #140: Background: Blue, Beak: Professor - Purple, Body: Short - Ruby, Eyes: Jean Jacket, Eyewear: Discerning - White, Headwear: 3D Glasses, Outerwear: Diamond (Jade)
ArbiBird #141: Background: Blue, Beak: Stark - Purple, Body: Long - Ruby, Eyes: None, Eyewear: Open - Fire, Headwear: Black-rimmed Glasses, Outerwear: Backwards Hat
ArbiBird #142: Background: Blue, Beak: Stark - Red, Body: Long - Ruby, Eyes: Bomber Jacket, Eyewear: Relaxed (Enlightened), Headwear: Black-rimmed Glasses, Outerwear: Queen's Crown
ArbiBird #143: Background: Blue, Beak: Sage - Blue, Body: Small - Gray, Eyes: Hero's Tunic, Eyewear: Open (Jade), Headwear: Sunglasses, Outerwear: Queen's Crown
ArbiBird #144: Background: Blue, Beak: Golden - Legendary Emperor, Body: Small - Ruby, Eyes: Hoodie, Eyewear: Adorable - Ruby, Headwear: Monocle, Outerwear: Tiara
ArbiBird #145: Background: Blue, Beak: Crescent - Pink, Body: Short - Robot, Eyes: Hoodie Down, Eyewear: Open (Cosmic), Headwear: Monocle (Jade), Outerwear: Dancing Flame
ArbiBird #146: Background: Blue, Beak: Brave - Black, Body: Long - Skeleton, Eyes: Hoodie, Eyewear: Side-eye - Golden, Headwear: 3D Glasses, Outerwear: Halo (Enlightened Variant)
ArbiBird #147: Background: Blue, Beak: Enlightened - Legendary Professor, Body: Small - Orange, Eyes: Hoodie Down, Eyewear: Glitch 6, Headwear: Big Tech, Outerwear: Mohawk (Green)
ArbiBird #148: Background: Blue, Beak: Sage - Red, Body: Small (Enlightened), Eyes: None, Eyewear: Open - Blue, Headwear: None, Outerwear: Forest Ranger
