ArbiBird #1: Background: Blue, Body: Stark - Gray, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Visor (Jade), Headwear: Captain's Cap
ArbiBird #29: Background: Blue, Body: Professor - White, Beak: Small (Cosmic), Outerwear: None, Eyes: Fire - Ruby, Eyewear: Black-rimmed Glasses, Headwear: Chromie
ArbiBird #30: Background: Blue, Body: Tranquil - Blue, Beak: Long - Gray, Outerwear: None, Eyes: Discerning - Golden, Eyewear: Jobs Glasses, Headwear: Skully (Jade)
ArbiBird #31: Background: Blue, Body: Emperor - Red, Beak: Small (Jade), Outerwear: Punk Jacket, Eyes: Open (Cosmic), Eyewear: Visor (Jade), Headwear: Crescent Talisman
ArbiBird #32: Background: Blue, Body: Stark - Green, Beak: Long - Gray, Outerwear: Punk Jacket, Eyes: Side-eye - White, Eyewear: Black-rimmed Glasses, Headwear: Halo
ArbiBird #33: Background: Blue, Body: Crescent - Gray, Beak: Small (Enlightened), Outerwear: None, Eyes: Angry - Gray, Eyewear: Visor (Jade), Headwear: Headband
ArbiBird #34: Background: Blue, Body: Cosmic - Legendary Emperor, Beak: Long - Orange, Outerwear: Punk Jacket, Eyes: Open - Purple, Eyewear: Monocle, Headwear: Headphones
ArbiBird #35: Background: Blue, Body: Stark - Pink, Beak: Small - Golden, Outerwear: Hoodie Down, Eyes: Open - Ruby, Eyewear: Monocle (Jade), Headwear: Bucket Hat
ArbiBird #36: Background: Blue, Body: Tranquil - Black, Beak: Small (Jade), Outerwear: Punk Jacket, Eyes: Glitch 1, Eyewear: Monocle (Jade), Headwear: Wizard's Hat (Jade)
ArbiBird #37: Background: Blue, Body: Skeleton - Bone, Beak: Short - Skeleton, Outerwear: Diamond Necklace, Eyes: Open (Enlightened), Eyewear: Gazelles, Headwear: Wizard's Hat (Jade)
ArbiBird #38: Background: Blue, Body: Brave - White, Beak: Long - Golden, Outerwear: Jean Jacket, Eyes: Relaxed (Enlightened), Eyewear: Half-moon Spectacles, Headwear: Diamond (Jade)
ArbiBird #39: Background: Blue, Body: Crescent - Gray, Beak: Small - Gray, Outerwear: Hoodie Down, Eyes: Open - Yellow, Eyewear: Big Tech, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #40: Background: Blue, Body: Sage - Black, Beak: Small (Cosmic), Outerwear: Bomber Jacket, Eyes: Adorable - Ruby, Eyewear: Gazelles, Headwear: Beanie
ArbiBird #41: Background: Blue, Body: Sage - White, Beak: Small - Skeleton, Outerwear: Bomber Jacket, Eyes: Relaxed - White, Eyewear: Eyepatch, Headwear: Witch's Hat
ArbiBird #42: Background: Blue, Body: Skeleton - Bone, Beak: Short - Ruby, Outerwear: Hoodie Down, Eyes: Open - Ruby, Eyewear: Eyepatch, Headwear: Tiny Crown
ArbiBird #43: Background: Blue, Body: Brave - Pink, Beak: Long - Gray, Outerwear: Bomber Jacket, Eyes: Relaxed - White, Eyewear: 3D Glasses, Headwear: Chromie
ArbiBird #44: Background: Blue, Body: Professor - Brown, Beak: Long - Orange, Outerwear: Gold Chain, Eyes: Angry - Red, Eyewear: Aviators, Headwear: Queen's Crown
ArbiBird #45: Background: Blue, Body: Enlightened - Legendary Sage, Beak: Small (Cosmic), Outerwear: Hoodie, Eyes: Angry - Green, Eyewear: Aviators, Headwear: Mohawk (Pink)
ArbiBird #46: Background: Blue, Body: Emperor - Purple, Beak: Long - Skeleton, Outerwear: Gold Chain, Eyes: Angry - Yellow, Eyewear: Monocle, Headwear: Headband
ArbiBird #47: Background: Blue, Body: Robot - Metal, Beak: Small - Orange, Outerwear: Diamond Necklace, Eyes: Discerning - Gray, Eyewear: Half-moon Spectacles, Headwear: Captain's Cap
ArbiBird #48: Background: Blue, Body: Tranquil - White, Beak: Small - Skeleton, Outerwear: Bomber Jacket, Eyes: Relaxed - Golden, Eyewear: Sunglasses, Headwear: Pirate's Hat
ArbiBird #49: Background: Blue, Body: Brave - Blue, Beak: Small - Skeleton, Outerwear: Bomber Jacket, Eyes: Open - Green, Eyewear: Aviators, Headwear: Grail
ArbiBird #50: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Long - Golden, Outerwear: Punk Jacket, Eyes: Angry - Purple, Eyewear: Monocle, Headwear: Halo (Enlightened Variant)
ArbiBird #51: Background: Blue, Body: Crescent - White, Beak: Long - Ruby, Outerwear: Jean Jacket, Eyes: Angry - White, Eyewear: Aviators, Headwear: Witch's Hat
ArbiBird #52: Background: Blue, Body: Robot - Metal, Beak: Small - Orange, Outerwear: Hero's Tunic, Eyes: Angry - Green, Eyewear: Half-moon Spectacles, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #53: Background: Blue, Body: Cosmic - Legendary Professor, Beak: Long - Ruby, Outerwear: Hoodie Down, Eyes: Discerning - Golden, Eyewear: Visor, Headwear: Witch's Hat
ArbiBird #54: Background: Blue, Body: Enlightened - Legendary Sage, Beak: Small (Cosmic), Outerwear: Hoodie Down, Eyes: Open - Enchanted, Eyewear: Visor (Jade), Headwear: Hero's Cap
ArbiBird #55: Background: Blue, Body: Guardian - Purple, Beak: Long - Orange, Outerwear: Punk Jacket, Eyes: Angry - Robot, Eyewear: Monocle, Headwear: Skully (Jade)
ArbiBird #56: Background: Blue, Body: Emperor - Pink, Beak: Small (Jade), Outerwear: Hoodie Down, Eyes: Open - Purple, Eyewear: Visor (Jade), Headwear: Raincloud
ArbiBird #57: Background: Blue, Body: Tabby - Red, Beak: Long - Orange, Outerwear: Gold Chain, Eyes: Fire - Epic, Eyewear: Half-moon Spectacles, Headwear: Headphones
ArbiBird #58: Background: Blue, Body: Tranquil - Blue, Beak: Long - Orange, Outerwear: Jean Jacket, Eyes: Relaxed - Skeleton, Eyewear: Gazelles, Headwear: Tiara
ArbiBird #59: Background: Blue, Body: Crescent - Brown, Beak: Long - Robot, Outerwear: Diamond Necklace, Eyes: Relaxed (Enlightened), Eyewear: Big Tech, Headwear: Diamond
ArbiBird #60: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Small (Jade), Outerwear: Bomber Jacket, Eyes: Angry - Purple, Eyewear: Big Tech, Headwear: Crescent Talisman (Jade)
ArbiBird #61: Background: Blue, Body: Professor - Brown, Beak: Small - Skeleton, Outerwear: Hoodie Down, Eyes: Open - Diamond, Eyewear: Big Tech, Headwear: Moon Hat
ArbiBird #62: Background: Blue, Body: Tabby - Green, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Skeleton, Eyewear: 3D Glasses, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #63: Background: Blue, Body: Guardian - Pink, Beak: Small (Enlightened), Outerwear: Hoodie, Eyes: Open - Fire, Eyewear: Monocle, Headwear: Bucket Hat
ArbiBird #64: Background: Blue, Body: Professor - Green, Beak: Short - Ruby, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Black-rimmed Glasses, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #65: Background: Blue, Body: Jade - Legendary Guardian, Beak: Short - Robot, Outerwear: Hoodie Down, Eyes: Angry - Blue, Eyewear: Eyepatch, Headwear: Fire
ArbiBird #66: Background: Blue, Body: Crescent - Green, Beak: Small - Skeleton, Outerwear: Jean Jacket, Eyes: Adorable - Epic, Eyewear: Black-rimmed Glasses, Headwear: Crescent Talisman
ArbiBird #67: Background: Blue, Body: Brave - Red, Beak: Small - Gray, Outerwear: None, Eyes: Discerning - Gray, Eyewear: None, Headwear: Grail
ArbiBird #68: Background: Blue, Body: Ruby Skeleton - Legendary Bone, Beak: Small (Jade), Outerwear: Punk Jacket, Eyes: Discerning - Golden, Eyewear: Monocle, Headwear: Diamond
ArbiBird #69: Background: Blue, Body: Emperor - Purple, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Side-eye - Red, Eyewear: Jobs Glasses, Headwear: Grail
ArbiBird #70: Background: Blue, Body: Glitch - Legendary Guardian, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Glitch 4, Eyewear: Black-rimmed Glasses, Headwear: Headband
ArbiBird #71: Background: Blue, Body: Sage - White, Beak: Small - Robot, Outerwear: Hero's Tunic, Eyes: Closed (Enlightened), Eyewear: Rose-Colored Glasses, Headwear: Mohawk (Jade)
ArbiBird #72: Background: Blue, Body: Sage - White, Beak: Small - Robot, Outerwear: Hoodie, Eyes: Side-eye - Blue, Eyewear: Aviators, Headwear: Mohawk (Green)
ArbiBird #73: Background: Blue, Body: Brave - Brown, Beak: Short - Golden, Outerwear: Punk Jacket, Eyes: Moon - Epic, Eyewear: Aviators, Headwear: Hero's Cap
ArbiBird #74: Background: Blue, Body: Stark - Pink, Beak: Long - Orange, Outerwear: Hero's Tunic, Eyes: Discerning - Red, Eyewear: Visor (Jade), Headwear: Halo (Jade)
ArbiBird #75: Background: Blue, Body: Emperor - Pink, Beak: Short - Gray, Outerwear: Hoodie, Eyes: Open - Red, Eyewear: Jobs Glasses, Headwear: Gremplin
ArbiBird #76: Background: Blue, Body: Tranquil - Gray, Beak: Long - Golden, Outerwear: Hoodie, Eyes: Relaxed - White, Eyewear: Visor (Jade), Headwear: Skully (Jade)
ArbiBird #77: Background: Blue, Body: Stark - Green, Beak: Long - Skeleton, Outerwear: Hoodie Down, Eyes: Discerning - Green, Eyewear: Black-rimmed Glasses, Headwear: Queen's Crown
ArbiBird #78: Background: Blue, Body: Stark - Pink, Beak: Small (Enlightened), Outerwear: Jean Jacket, Eyes: Open - Ruby, Eyewear: Aviators, Headwear: Parliament Mask (Jade)
ArbiBird #79: Background: Blue, Body: Guardian - Brown, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Glitch 6, Eyewear: Rose-Colored Glasses, Headwear: Beanie
ArbiBird #80: Background: Blue, Body: Professor - Purple, Beak: Small - Ruby, Outerwear: Jean Jacket, Eyes: Open - Rainbow, Eyewear: Eyepatch, Headwear: Parliament Mask (Jade)
ArbiBird #81: Background: Blue, Body: Stark - Pink, Beak: Long - Golden, Outerwear: Hoodie Down, Eyes: Open (Cosmic), Eyewear: Black-rimmed Glasses, Headwear: Grail
ArbiBird #82: Background: Blue, Body: Stark - Purple, Beak: Small - Golden, Outerwear: None, Eyes: Discerning - Blue, Eyewear: 3D Glasses, Headwear: Crescent Talisman (Jade)
ArbiBird #83: Background: Blue, Body: Tabby - White, Beak: Long - Robot, Outerwear: Punk Jacket, Eyes: Discerning - Blue, Eyewear: Big Tech, Headwear: Queen's Crown
ArbiBird #84: Background: Blue, Body: Professor - Pink, Beak: Small - Gray, Outerwear: Gold Chain, Eyes: Diamond - Epic, Eyewear: 3D Glasses, Headwear: Parliament Mask (Jade)
ArbiBird #85: Background: Blue, Body: Sage - Green, Beak: Short - Ruby, Outerwear: Diamond Necklace, Eyes: Discerning - Golden, Eyewear: Sunglasses, Headwear: Backwards Hat
ArbiBird #86: Background: Blue, Body: Jade - Legendary Brave, Beak: Long - Skeleton, Outerwear: Bomber Jacket, Eyes: Discerning - Red, Eyewear: Monocle, Headwear: Halo (Enlightened Variant)
ArbiBird #87: Background: Blue, Body: Emperor - Brown, Beak: Small - Ruby, Outerwear: None, Eyes: Relaxed - White, Eyewear: Monocle (Jade), Headwear: Bucket Hat
ArbiBird #88: Background: Blue, Body: Jade - Legendary Guardian, Beak: Long - Golden, Outerwear: Punk Jacket, Eyes: Glitch 4, Eyewear: Black-rimmed Glasses, Headwear: Crescent Talisman
ArbiBird #89: Background: Blue, Body: Jade - Legendary Professor, Beak: Short - Ruby, Outerwear: Diamond Necklace, Eyes: Glitch 3, Eyewear: Half-moon Spectacles, Headwear: Bow
ArbiBird #90: Background: Blue, Body: Cosmic - Legendary Professor, Beak: Small - Gray, Outerwear: Hoodie, Eyes: Angry - Blue, Eyewear: Monocle (Jade), Headwear: Space Helmet
ArbiBird #91: Background: Blue, Body: Sage - Red, Beak: Long - Skeleton, Outerwear: Hoodie, Eyes: Open - Gray, Eyewear: Monocle, Headwear: Diamond (Jade)
ArbiBird #92: Background: Blue, Body: Sage - Purple, Beak: Short - Golden, Outerwear: Punk Jacket, Eyes: Glitch 6, Eyewear: Aviators, Headwear: Skully
ArbiBird #93: Background: Blue, Body: Tranquil - Purple, Beak: Long - Skeleton, Outerwear: Hero's Tunic, Eyes: Angry - Purple, Eyewear: Jobs Glasses, Headwear: Witch's Hat
ArbiBird #94: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Long - Gray, Outerwear: Bomber Jacket, Eyes: Open - Yellow, Eyewear: Aviators, Headwear: Bandana
ArbiBird #95: Background: Blue, Body: Sage - Red, Beak: Small - Golden, Outerwear: Jean Jacket, Eyes: Closed (Enlightened), Eyewear: Eyepatch, Headwear: Halo
ArbiBird #96: Background: Blue, Body: Professor - Red, Beak: Long - Golden, Outerwear: None, Eyes: Side-eye - White, Eyewear: 3D Glasses, Headwear: Wizard's Hat
ArbiBird #97: Background: Blue, Body: Emperor - Gray, Beak: Small - Gray, Outerwear: Hoodie Down, Eyes: Discerning - Gray, Eyewear: Rose-Colored Glasses, Headwear: Skully
ArbiBird #98: Background: Blue, Body: Tranquil - Green, Beak: Short (Jade), Outerwear: Bomber Jacket, Eyes: Open - Green, Eyewear: Visor (Jade), Headwear: Parliament Mask (Jade)
ArbiBird #99: Background: Blue, Body: Tranquil - Pink, Beak: Short - Orange, Outerwear: Bomber Jacket, Eyes: Relaxed (Enlightened), Eyewear: Monocle, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #100: Background: Blue, Body: Brave - Black, Beak: Small (Jade), Outerwear: Jean Jacket, Eyes: Angry - Green, Eyewear: Jobs Glasses, Headwear: Witch's Hat
ArbiBird #101: Background: Blue, Body: Sage - Brown, Beak: Long - Golden, Outerwear: Hoodie, Eyes: Angry - Red, Eyewear: Monocle, Headwear: Hero's Cap
ArbiBird #102: Background: Blue, Body: Guardian - Blue, Beak: Small (Cosmic), Outerwear: None, Eyes: Relaxed - Red, Eyewear: None, Headwear: None
ArbiBird #103: Background: Blue, Body: Professor - Black, Beak: Short - Gray, Outerwear: None, Eyes: Angry - Blue, Eyewear: Gazelles, Headwear: Rubber Duck
ArbiBird #104: Background: Blue, Body: Tranquil - Black, Beak: Small - Robot, Outerwear: Gold Chain, Eyes: Relaxed - Purple, Eyewear: Visor, Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #105: Background: Blue, Body: Jade - Legendary Sage, Beak: Short - Orange, Outerwear: Gold Chain, Eyes: Open - Blue, Eyewear: Monocle, Headwear: Lincoln
ArbiBird #106: Background: Blue, Body: Crescent - Blue, Beak: Small (Cosmic), Outerwear: Hoodie, Eyes: Glitch 2, Eyewear: Eyepatch, Headwear: Diamond (Jade)
ArbiBird #107: Background: Blue, Body: Brave - Black, Beak: Small (Jade), Outerwear: Punk Jacket, Eyes: Open - Yellow, Eyewear: Monocle (Jade), Headwear: Rubber Duck
ArbiBird #108: Background: Blue, Body: Guardian - White, Beak: Long - Gray, Outerwear: Punk Jacket, Eyes: Rainbow - Epic, Eyewear: Rose-Colored Glasses, Headwear: Durag
ArbiBird #109: Background: Blue, Body: Tranquil - Purple, Beak: Short - Skeleton, Outerwear: Hoodie, Eyes: Discerning - Golden, Eyewear: Monocle, Headwear: Headband
ArbiBird #110: Background: Blue, Body: Crescent - Brown, Beak: Long - Orange, Outerwear: None, Eyes: Relaxed - Green, Eyewear: None, Headwear: Queen's Crown
ArbiBird #111: Background: Blue, Body: Professor - Brown, Beak: Small - Ruby, Outerwear: Hero's Tunic, Eyes: Adorable - Epic, Eyewear: Gazelles, Headwear: Halo (Enlightened Variant)
ArbiBird #112: Background: Blue, Body: Crescent - Pink, Beak: Small - Orange, Outerwear: Gold Chain, Eyes: Relaxed - Green, Eyewear: Monocle (Jade), Headwear: Rubber Duck
ArbiBird #113: Background: Blue, Body: Tranquil - Pink, Beak: Long - Ruby, Outerwear: Hero's Tunic, Eyes: Relaxed - Green, Eyewear: Rose-Colored Glasses, Headwear: Raincloud
ArbiBird #114: Background: Blue, Body: Tabby - Brown, Beak: Short - Orange, Outerwear: Jean Jacket, Eyes: Open - Moon, Eyewear: Eyepatch, Headwear: Forest Ranger
ArbiBird #115: Background: Blue, Body: Sage - Brown, Beak: Short - Ruby, Outerwear: Hoodie Down, Eyes: Angry - Skeleton, Eyewear: Visor (Jade), Headwear: Durag
ArbiBird #116: Background: Blue, Body: Stark - White, Beak: Short (Jade), Outerwear: Bomber Jacket, Eyes: Open - Enchanted, Eyewear: Gazelles, Headwear: Fire
ArbiBird #117: Background: Blue, Body: Professor - White, Beak: Short - Skeleton, Outerwear: Hoodie Down, Eyes: Fire - Ruby, Eyewear: Half-moon Spectacles, Headwear: Fire
ArbiBird #118: Background: Blue, Body: Enlightened - Legendary Crescent, Beak: Short - Skeleton, Outerwear: Gold Chain, Eyes: Open - Blue, Eyewear: 3D Glasses, Headwear: Tiara
ArbiBird #119: Background: Blue, Body: Professor - White, Beak: Small - Robot, Outerwear: Diamond Necklace, Eyes: Open - Diamond, Eyewear: Black-rimmed Glasses, Headwear: Cowboy Hat
ArbiBird #120: Background: Blue, Body: Tranquil - White, Beak: Long - Ruby, Outerwear: Punk Jacket, Eyes: Moon - Epic, Eyewear: Gazelles, Headwear: Karate Band
ArbiBird #121: Background: Blue, Body: Professor - Black, Beak: Small - Ruby, Outerwear: Bomber Jacket, Eyes: Relaxed - Purple, Eyewear: Monocle, Headwear: Halo (Enlightened Variant)
ArbiBird #122: Background: Blue, Body: Tranquil - Brown, Beak: Short - Gray, Outerwear: Bomber Jacket, Eyes: Relaxed - Yellow, Eyewear: Monocle, Headwear: Tiny Crown (Jade)
ArbiBird #123: Background: Blue, Body: Crescent - White, Beak: Long - Robot, Outerwear: Bomber Jacket, Eyes: Open (Enlightened), Eyewear: Eyepatch, Headwear: Mohawk (Jade)
ArbiBird #124: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Long - Orange, Outerwear: Hero's Tunic, Eyes: Discerning - Yellow, Eyewear: Black-rimmed Glasses, Headwear: Mohawk (Green)
ArbiBird #125: Background: Blue, Body: Sage - Black, Beak: Short - Skeleton, Outerwear: Hero's Tunic, Eyes: Open (Enlightened), Eyewear: Visor (Jade), Headwear: Tiara
ArbiBird #126: Background: Blue, Body: Enlightened - Legendary Guardian, Beak: Short - Golden, Outerwear: None, Eyes: Side-eye - Purple, Eyewear: Monocle, Headwear: Mohawk (Jade)
ArbiBird #127: Background: Blue, Body: Enlightened - Legendary Brave, Beak: Short - Robot, Outerwear: None, Eyes: Open - Robot, Eyewear: Big Tech, Headwear: Mohawk (Green)
ArbiBird #128: Background: Blue, Body: Golden - Legendary Sage, Beak: Small - Orange, Outerwear: Diamond Necklace, Eyes: Discerning - White, Eyewear: Monocle (Jade), Headwear: Gremplin
ArbiBird #129: Background: Blue, Body: Professor - Black, Beak: Small (Enlightened), Outerwear: Jean Jacket, Eyes: Angry - Blue, Eyewear: Gazelles, Headwear: Halo
ArbiBird #130: Background: Blue, Body: Tabby - Gray, Beak: Small - Golden, Outerwear: Punk Jacket, Eyes: Open (Cosmic), Eyewear: Black-rimmed Glasses, Headwear: Moon Hat
ArbiBird #131: Background: Blue, Body: Professor - Purple, Beak: Small - Robot, Outerwear: Punk Jacket, Eyes: Open - Purple, Eyewear: Monocle (Jade), Headwear: Dancing Flame (Enlightened Variant)
ArbiBird #132: Background: Blue, Body: Guardian - Purple, Beak: Short - Robot, Outerwear: None, Eyes: Relaxed - Red, Eyewear: Monocle, Headwear: Tiny Crown
ArbiBird #133: Background: Blue, Body: Emperor - Pink, Beak: Small (Cosmic), Outerwear: Punk Jacket, Eyes: Open - Robot, Eyewear: Eyepatch, Headwear: Queen's Crown
ArbiBird #134: Background: Blue, Body: Cosmic - Legendary Crescent, Beak: Long - Orange, Outerwear: None, Eyes: Relaxed - Red, Eyewear: 3D Glasses, Headwear: Mohawk (Pink)
ArbiBird #135: Background: Blue, Body: Emperor - Gray, Beak: Small - Orange, Outerwear: Gold Chain, Eyes: Glitch 1, Eyewear: Monocle (Jade), Headwear: Skully
ArbiBird #136: Background: Blue, Body: Glitch - Legendary Brave, Beak: Short - Skeleton, Outerwear: None, Eyes: Angry - Robot, Eyewear: Half-moon Spectacles, Headwear: Pirate's Hat
ArbiBird #137: Background: Blue, Body: Guardian - Blue, Beak: Small - Skeleton, Outerwear: Hoodie, Eyes: Angry - Ruby, Eyewear: Eyepatch, Headwear: Crescent Talisman (Jade)
ArbiBird #138: Background: Blue, Body: Jade - Legendary Sage, Beak: Small - Orange, Outerwear: Jean Jacket, Eyes: Open - Rainbow, Eyewear: Eyepatch, Headwear: Dancing Flame
ArbiBird #139: Background: Blue, Body: Glitch - Legendary Emperor, Beak: Long - Ruby, Outerwear: Punk Jacket, Eyes: Adorable - Ruby, Eyewear: Aviators, Headwear: Cowboy Hat
ArbiBird #140: Background: Blue, Body: Professor - Purple, Beak: Short - Ruby, Outerwear: Jean Jacket, Eyes: Discerning - White, Eyewear: 3D Glasses, Headwear: Diamond (Jade)
ArbiBird #141: Background: Blue, Body: Stark - Purple, Beak: Long - Ruby, Outerwear: None, Eyes: Open - Fire, Eyewear: Black-rimmed Glasses, Headwear: Backwards Hat
ArbiBird #142: Background: Blue, Body: Stark - Red, Beak: Long - Ruby, Outerwear: Bomber Jacket, Eyes: Relaxed (Enlightened), Eyewear: Black-rimmed Glasses, Headwear: Queen's Crown
ArbiBird #143: Background: Blue, Body: Sage - Blue, Beak: Small - Gray, Outerwear: Hero's Tunic, Eyes: Open (Jade), Eyewear: Sunglasses, Headwear: Queen's Crown
ArbiBird #144: Background: Blue, Body: Golden - Legendary Emperor, Beak: Small - Ruby, Outerwear: Hoodie, Eyes: Adorable - Ruby, Eyewear: Monocle, Headwear: Tiara
ArbiBird #145: Background: Blue, Body: Crescent - Pink, Beak: Short - Robot, Outerwear: Hoodie Down, Eyes: Open (Cosmic), Eyewear: Monocle (Jade), Headwear: Dancing Flame
ArbiBird #146: Background: Blue, Body: Brave - Black, Beak: Long - Skeleton, Outerwear: Hoodie, Eyes: Side-eye - Golden, Eyewear: 3D Glasses, Headwear: Halo (Enlightened Variant)
ArbiBird #147: Background: Blue, Body: Enlightened - Legendary Professor, Beak: Small - Orange, Outerwear: Hoodie Down, Eyes: Glitch 6, Eyewear: Big Tech, Headwear: Mohawk (Green)
ArbiBird #148: Background: Blue, Body: Sage - Red, Beak: Small (Enlightened), Outerwear: None, Eyes: Open - Blue, Eyewear: None, Headwear: Forest Ranger
